time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-16 10:00:00,1255.4039999999995,1,1,1,1,1
2018-12-16 10:05:00,1248.572,1,1,1,1,1
2018-12-16 10:10:00,1245.5400000000004,1,1,1,1,1
2018-12-16 10:15:00,1249.166666666667,1,1,1,1,1
2018-12-16 10:20:00,1249.4560000000001,1,1,1,1,1
2018-12-16 10:25:00,1242.6739999999998,1,1,1,1,1
2018-12-16 10:30:00,1252.4499999999996,1,1,1,1,1
2018-12-16 10:35:00,1262.1299999999997,1,1,1,1,1
2018-12-16 10:40:00,1252.7591666666665,1,1,1,1,1
2018-12-16 10:45:00,1252.608,1,1,1,1,1
2018-12-16 10:50:00,1257.6859999999995,1,1,1,1,1
2018-12-16 10:55:00,1278.8559999999995,1,1,1,1,1
2018-12-16 11:00:00,1260.472105263158,1,1,1,1,1
2018-12-16 11:05:00,1262.8159999999998,1,1,1,1,1
2018-12-16 11:10:00,1255.7375,1,1,1,1,1
2018-12-16 11:15:00,1249.522,1,1,1,1,1
2018-12-16 11:20:00,1259.2512499999998,1,1,1,1,1
2018-12-16 11:25:00,1252.7359999999996,1,1,1,1,1
2018-12-16 11:30:00,1253.478,1,1,1,1,1
2018-12-16 11:35:00,1262.3719999999996,1,1,1,1,1
2018-12-16 11:40:00,1274.4399999999996,1,1,1,1,1
2018-12-16 11:45:00,1271.246,1,1,1,1,1
2018-12-16 11:50:00,1263.4900000000002,1,1,1,1,1
2018-12-16 11:55:00,1274.7460000000005,1,1,1,1,1
2018-12-16 12:00:00,1262.2200000000005,1,1,1,1,1
2018-12-16 12:05:00,1276.2120000000004,1,1,1,1,1
2018-12-16 12:10:00,1255.5200000000002,1,1,1,1,1
2018-12-16 12:15:00,1265.769583333333,1,1,1,1,1
2018-12-16 12:20:00,1262.2404166666668,1,1,1,1,1
2018-12-16 12:25:00,1255.0060000000005,1,1,1,1,1
2018-12-16 12:30:00,1261.596,1,1,1,1,1
2018-12-16 12:35:00,1253.1820000000002,1,1,1,1,1
2018-12-16 12:40:00,1251.5819999999992,1,1,1,1,1
2018-12-16 12:45:00,1246.7050000000004,1,1,1,1,1
2018-12-16 12:50:00,1243.5780000000002,1,1,1,1,1
2018-12-16 12:55:00,1249.362,1,1,1,1,1
2018-12-16 13:00:00,1237.1560000000004,1,1,1,1,1
2018-12-16 13:05:00,1245.5339999999999,1,1,1,1,1
2018-12-16 13:10:00,1246.2458333333334,1,1,1,1,1
2018-12-16 13:15:00,1241.8860000000002,1,1,1,1,1
2018-12-16 13:20:00,1238.976,1,1,1,1,1
2018-12-16 13:25:00,1240.0304166666665,1,1,1,1,1
2018-12-16 13:30:00,1238.0219999999995,1,1,1,1,1
2018-12-16 13:35:00,1237.0000000000002,1,1,1,1,1
2018-12-16 13:40:00,1245.2960000000005,1,1,1,1,1
2018-12-16 13:45:00,1248.6880000000008,1,1,1,1,1
2018-12-16 13:50:00,1240.19,1,1,1,1,1
2018-12-16 13:55:00,1236.37375,1,1,1,1,1
2018-12-16 14:00:00,1231.4160000000004,1,1,1,1,1
2018-12-16 14:05:00,1239.5714285714282,1,1,1,1,1
2018-12-16 14:10:00,1228.8541666666667,1,1,1,1,1
